Price,Mat_Acrylic,Mat_Cashmere,Mat_Cotton,Mat_Elastane,Mat_Lyocell,Mat_Merino Wool,Mat_Nylon,Mat_Organic Cotton,Mat_Polyamide,Mat_Polyester,Mat_Recycled Acrylic,Mat_Recycled Cashmere,Mat_Recycled Cotton,Mat_Recycled Nylon,Mat_Recycled Polyester,Mat_Recycled Wool,Mat_Viscose,Mat_Wool,Score_100,Brand_H&M,Brand_Patagonia,Brand_Penneys,Brand_Zara,Category_Man,Category_Woman,Category_Woman's Knitwear,Subcategory_Jacket,Subcategory_Jumper,Subcategory_Sweater,Subcategory_Tshirt,Subcategory_sweater
222.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97,0,1,0,0,1,0,0,0,0,1,0,0
78.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,1,0,0,0,0,1,0,1,0,0,0,0
42.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,0,0,1,0,1,0,0,1,0,0,0
175.27,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,63,0,1,0,0,1,0,0,0,1,0,0,0
340.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,1,0,0,1,0,0,0,0
43.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,1,0,0,1,0,0,0,0
19.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,1,0,0,0,1,0,0,0
9.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,1,0,1,0,0,0,0,0,1,0
11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,1,0,1,0,0,0,0,0,1,0
18.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,1,0,0,1,0,0,0
24.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,1,0,0,0,1,0,0,0
114.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,1,0,0,1,0,0,0,0
3.81,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,49,0,0,1,0,0,1,0,0,0,0,1,0
17.94,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,1,1,0,0,0,0,0,1,0
24.81,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,1,0,1,0,0,0,0,1,0,0
15.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0,0,1,0,1,0,0,0,1,0,0,0
18.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,1,0,1,0,0,0,1,0,0,0
79.18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,0,1,0,0,1,0,0,0,0,0,1,0
17.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,0,0,1,0,0,1,0,0,0,1,0,0
9.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,44,1,0,0,0,1,0,0,0,0,0,1,0
39.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1,1,0,0,0,1,0,0,0
18.93,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,1,0,0,0,0,0,1,0
54.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,1,1,0,0,0,1,0,0,0
40.94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,1,0,0,1,0,0,0,0,0,1,0
5.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,0,1,0,0,0,0,1,0
109.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,1,0,0,0,1,0,0,0,1,0,0
119.43,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,46,0,0,0,1,1,0,0,1,0,0,0,0
11.94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,1,0,1,0,0,0,0,0,1,0
11.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,1,0,0,0,1,0,0,0,0,0,1,0
11.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,66,0,0,1,0,0,1,0,0,1,0,0,0
21.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,1,0,0,0,0,0,1,0
54.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,1,0,0,1,0,0,0
13.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,1,0,0,0,1,0,0
11.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,1,0,0,0,0,1,0
30.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,1,0,1,0,0,1,0,0,0,0
107.95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,0,0,1,1,0,0,1,0,0,0,0
130.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,100,0,1,0,0,0,1,0,0,1,0,0,0
38.28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93,0,1,0,0,0,1,0,0,0,0,1,0
39.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,95,1,0,0,0,0,1,0,0,1,0,0,0
269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,0,1,0,0,1,0,0,1,0,0,0,0
155.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,0,1,0,0,1,0,0,0,0,1,0,0
38.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,1,0,0,0,1,0,0,0,0,1,0,0
92.37,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,72,0,0,0,1,1,0,0,1,0,0,0,0
20.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,73,0,0,1,0,1,0,0,0,1,0,0,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,1,0,0,0,0,1,0,0,0,0,1,0
192.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,1,0,0,0,0,1,0,0
15.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,1,0,0,0,0,0,1,0
7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,1,0,0,0,0,1,0,0,0,0,1,0
78.17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,1,0,0,1,0,0,0,0,0,1,0
11.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,1,0,0,0,0,0,1,0
300.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88,0,1,0,0,0,1,0,1,0,0,0,0
238.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,1,0,0,1,0,0,0,0,1,0,0
8.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,1,0,1,0,0,0,0,0,1,0
213.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87,0,1,0,0,0,1,0,0,0,1,0,0
111.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1,0,0,1,0,0,0,1,0,0,0
201.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,1,0,0,1,0,0,1,0,0,0,0
21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,1,0,0,0,0,1,0,0,0,1,0,0
115.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1,0,0,0,1,0,0,0,1,0,0
26.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,1,0,0,0,1,0,0,0,1,0,0,0
53.62,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,84,0,1,0,0,0,1,0,0,0,0,1,0
30.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,1,0,0,0,1,0,0
46.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,1,0,0,0,0,1,0
57.95,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,65,0,0,0,1,1,0,0,0,0,1,0,0
44.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0,0,1,0,1,0,0,0,1,0,0
156.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,1,0,0,1,0,0,0,1,0,0,0
19.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,1,0,1,0,0,0,0,1,0
19.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,1,0,0,0,1,0,0,0
236.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,1,0,0,1,0,0,0,0
8.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,1,0,0,0,0,0,1,0
15.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,1,0,0,1,0,0,0,0
71.29,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,60,0,0,0,1,0,1,0,1,0,0,0,0
22.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,1,0,0,0,1,0,0,0,1,0,0,0
135.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,1,0,1,0,0,0,0
26.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,1,0,0,1,0,0,0
196.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,1,0,0,0,1,0,0,0
121.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,1,0,0,0,1,0,1,0,0,0,0
18.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,1,0,0,0,0,1,0
158.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1,0,0,1,0,0,0,0,1,0,0
4.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0,0,1,0,0,1,0,0,0,0,1,0
14.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,1,0,0,1,0,0,0
31.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,83,0,0,0,1,0,1,0,0,1,0,0,0
80.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,0,0,0,1,1,0,0,1,0,0,0,0
184.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,1,0,0,0,1,0,0,1,0,0,0
99.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,1,0,0,1,0,0,0,0
9.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,1,0,0,1,0,0,0,0,1,0
5.37,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45,0,0,1,0,0,1,0,0,0,0,1,0
33.48,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,1,0,1,0,0,0,0
31.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,0,0,0,1,1,0,0,0,0,1,0,0
25.85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,1,1,0,0,0,1,0,0,0
70.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1,0,0,0,1,0,0,0,0,1,0
24.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,66,0,0,1,0,0,1,0,1,0,0,0,0
78.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,1,0,1,0,0,0,0
67.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,1,0,1,0,0,0,0
26.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,1,0,0,0,1,0,0,0
17.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,1,0,0,0,1,0,0
39.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,1,0,0,0,0,1,0
66.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,1,0,0,0,1,0,0,0,0,1,0
71.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,1,0,0,0,0,1,0
41.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,1,0,1,0,0,1,0,0,0
169.97,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,68,0,1,0,0,0,1,0,1,0,0,0,0
23.37,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,88,0,0,0,1,1,0,0,0,0,1,0,0
24.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,1,0,0,1,0,0,0
14.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1,0,1,0,0,0,0,1,0,0
61.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,1,0,0,0,1,0,0,0,0,1,0
206.89,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,1,0,0,0,0,1,0,0
3.71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,0,0,0,0,1,0
25.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,1,0,0,0,0,1,0,0,0,1,0,0
33.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,1,0,0,0,1,0,0
177.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1,0,0,1,0,0,0,0,1,0,0
17.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,1,0,0,0,0,0,1,0
10.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0,1,0,0,0,0,1,0
27.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,1,0,0,1,0,0,0
21.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0,0,1,1,0,0,0,1,0,0,0
6.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,1,0,0,0,0,1,0
73.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,1,0,0,0,0,0,1,0
51.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,1,0,0,0,1,0,0
57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,0,0,0,1,0,1,0,0,1,0,0,0
130.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,1,0,0,0,1,0,0,0,1,0,0
21.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,0,1,0,1,0,0,0,1,0,0
7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,1,0,0,0,0,0,1,0
30.44,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,0,0,1,1,0,0,0,1,0,0,0
50.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,1,0,0,1,0,0,0
51.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,1,0,0,0,0,1,0
32.15,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,80,1,0,0,0,0,1,0,0,1,0,0,0
35.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69,1,0,0,0,0,1,0,0,0,1,0,0
15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,1,0,0,0,0,1,0,0,1,0,0,0
16.87,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,65,1,0,0,0,0,1,0,0,0,1,0,0
76.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,0,1,0,0,1,0,0,0,0,0,1,0
56.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,1,0,0,0,0,1,0,0
36.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,0,0,0,1,1,0,0,0,0,1,0,0
59.76,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,1,0,0,1,0,0,0
20.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,1,0,0,1,0,0,0,0
11.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,43,0,0,1,0,1,0,0,0,0,0,1,0
52.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,1,0,1,0,0,0,1,0,0
43.7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86,0,0,0,1,1,0,0,0,1,0,0,0
8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,1,0,0,1,0,0,1,0,0,0
76.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,1,0,0,0,0,1,0
4.33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,45,0,0,1,0,0,1,0,0,0,0,1,0
48.58,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,95,0,1,0,0,0,1,0,0,0,0,1,0
18.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,1,0,0,1,0,0,0
20.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0,0,1,1,0,0,0,1,0,0,0
43.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,1,0,1,0,0,0,0
15.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,1,0,0,0,0,1,0,0,0,1,0,0
10.79,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,54,1,0,0,0,1,0,0,0,0,0,1,0
167.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1,0,0,0,1,0,0,1,0,0,0
37.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,1,0,0,0,1,0,0
77.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,0,1,0,0,0,1,0,0,0,0,1,0
84.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,1,1,0,0,1,0,0,0,0
154.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1,0,0,1,0,0,0,1,0,0,0
7.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,1,0,0,0,0,0,1,0
325.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,0,1,0,0,1,0,0,1,0,0,0,0
166.87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,0,1,0,0
32.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,1,0,0,1,0,0,0
17.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,1,1,0,0,0,0,0,1,0
159.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,1,0,0,0,1,0,0,0,1,0,0
18.98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,1,0,1,0,0,0,0,1,0
194.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,0,1,0,0,1,0,0,0,1,0,0,0
15.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,0,1,0,0,1,0,0,0,1,0,0
21.25,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,68,0,0,0,1,0,1,0,0,0,0,1,0
25.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,1,0,0,0,1,0,0,0,1,0,0,0
103.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0,1,0,0,0,0,1,0,0
22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,1,0,0,0,1,0,0,0,1,0,0,0
113.07,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,1,1,0,0,1,0,0,0,0
38.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,1,0,1,0,0,0,0
10.66,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,64,0,0,0,1,0,1,0,0,0,0,1,0
27.22,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,47,1,0,0,0,1,0,0,0,1,0,0,0
3.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,49,0,0,1,0,0,1,0,0,0,0,1,0
46.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,0,1,0,0,1,0,0,0
52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,0,0,1,1,0,0,0,0,1,0,0
13.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,1,0,1,0,0,0,1,0,0,0
9.84,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,1,0,0,0,1,0,0
50.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,0,1,0,0,1,0,0,0
14.88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,0,0,1,0,0,1,0,0,0,1,0,0
145.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98,0,1,0,0,0,1,0,0,0,1,0,0
23.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,0,1,0,0,1,0,0,0
139.08,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,84,0,1,0,0,1,0,0,0,0,1,0,0
41.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,1,0,0,0,0,1,0,1,0,0,0,0
229.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,0,1,0,0,1,0,0,0
9.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,1,0,0,0,0,1,0
218.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,1,0,0,1,0,0,1,0,0,0,0
9.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,1,0,0,1,0,0,0,0,1,0
25.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,1,0,0,0,0,1,0,0
26.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,1,0,0,0,1,0,0,0,0,1,0,0
36.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,85,0,0,0,1,0,1,0,0,1,0,0,0
31.26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,92,1,0,0,0,0,1,0,0,0,1,0,0
6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,1,0,0,0,1,0,0,0,0,0,1,0
47.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,0,1,0,0,1,0,0,0
111.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,1,0,1,0,1,0,0,0,0
40.93,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,0,0,1,0,1,0,0,0,1,0,0
100.41,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,1,0,0,0,1,0,0
20.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,1,0,0,0,0,1,0,0
19.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,1,0,1,0,0,0,0,1,0,0
31.18,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,75,1,0,0,0,1,0,0,0,1,0,0,0
182.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,85,0,1,0,0,1,0,0,1,0,0,0,0
25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,1,0,0,0,1,0,0,0,1,0,0,0
49.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,1,0,0,1,0,0,0,0
40.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87,0,0,0,1,0,1,0,0,0,1,0,0
223.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,1,0,0,0,1,0,0,1,0,0,0
158.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,0,1,0,0,1,0,0,1,0,0,0,0
105.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,1,0,1,0,0,0,0
147.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,0,1,0,0,1,0,0,1,0,0,0,0
14.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,1,0,0,0,0,0,1,0
26.36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,79,1,0,0,0,1,0,0,0,1,0,0,0
16.87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,1,0,0,1,0,0,0,1,0,0
10.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,0,0,1,0,1,0,0,0,1,0,0,0
6.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0,0,1,0,0,1,0,0,0,0,1,0
68.13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,68,0,1,0,0,1,0,0,0,0,0,1,0
